portal,title,description,url,datetime
globo,Menores desdenham da educação e dizem ganhar mais do que médico vendendo curso para ser influencer,'Influenciadores mirins' tentam atrair outras crianças e adolescentes para um 'trabalho' supostamente rentável de participação nas vendas de cursos dentro da Kiwify e da Cakto. Especialistas veem indícios de trabalho infantil e exploração de imagem.,https://g1.globo.com/tecnologia/noticia/2024/11/23/menores-desdenham-da-educacao-e-dizem-ganhar-mais-do-que-medico-vendendo-curso-para-ser-influencer.ghtml,2024-11-23 12:41:06+00:00
globo,"Brancos de classe média atacam cotistas porque perderam privilégio de ser medíocres, diz escritor pioneiro das cotas","
Repercussão de casos de preconceito contra cotistas ocorre menos de um mês após o lançamento do novo livro de Jeferson Tenório, De Onde Eles Vêm, que conta história de jovem negro que entrou na universidade pública por meio das cotas.",https://g1.globo.com/educacao/noticia/2024/11/23/brancos-de-classe-media-atacam-cotistas-porque-perderam-privilegio-de-ser-mediocres-diz-escritor-pioneiro-das-cotas.ghtml,2024-11-23 11:13:56+00:00
globo,De Alice à Gonzaga de Sá: entenda o que os livros da 2ª fase da Unicamp têm em comum e como se preparar para interpretá-los,Professor de literatura comenta relação entre as histórias e os enredos das obras do vestibular; segunda fase da Unicamp ocorre nos dia 1º e 2 de dezembro.,https://g1.globo.com/sp/campinas-regiao/educacao/noticia/2024/11/23/de-alice-a-gonzaga-de-sa-entenda-o-que-os-livros-da-2a-fase-da-unicamp-tem-em-comum-e-como-se-preparar-para-interpreta-los.ghtml,2024-11-23 08:00:26+00:00
globo,Festival LED em Belém vai discutir futuro da educação; veja a programação completa,"Evento será no dia 27 de novembro na Estação das Docas, ponto turístico da capital paraense. Entre os convidados estão Sandra Annenberg, Fafá de Belém e Poliana Abritta.",https://g1.globo.com/pa/para/noticia/2024/11/22/festival-led-em-belem-vai-discutir-futuro-da-educacao-veja-a-programacao-completa.ghtml,2024-11-22 19:15:02+00:00
globo,Vestibular Unificado UFSC/IFSC/IFC: locais de prova e cursos com maior concorrência são divulgados,"Seleção única que oferta 6,7 mil vagas para as três instituições tem 23.961 inscritos. Provas acontecem em 7 e 8 de dezembro.",https://g1.globo.com/sc/santa-catarina/noticia/2024/11/22/vestibular-unificado-ufsc-ifsc-ifc-locais-de-prova-relacao-candidato-vaga.ghtml,2024-11-22 14:01:41+00:00
globo,Como identificar e estimular crianças superdotadas,Especialistas alertam para a importância do diagnóstico precoce e do suporte adequado às necessidades de crianças com habilidades excepcionais.,https://g1.globo.com/educacao/noticia/2024/11/21/como-identificar-e-estimular-criancas-superdotadas.ghtml,2024-11-21 04:00:14+00:00
globo,"Caçula, babá, cafuné: como mulheres negras escravizadas ajudaram a criar o português brasileiro","Fundamental para a construção do Brasil e para o movimento abolicionista, a cultura banto reverbera até hoje não só no vocabulário do português brasileiro, mas também na entonação, pronúncia e sintaxe.",https://g1.globo.com/educacao/noticia/2024/11/20/cacula-baba-cafune-como-mulheres-negras-escravizadas-ajudaram-a-criar-o-portugues-brasileiro.ghtml,2024-11-20 19:12:03+00:00
globo,Escravo ou escravizado? O debate que reflete mudança de como Brasil enxerga a escravidão,"Escolha da terminologia faz parte de uma luta identitária e, conforme a opção do locutor, pode denotar uma visão crítica ao próprio regime escravocrata. ",https://g1.globo.com/noticia/2024/11/20/escravo-ou-escravizado-o-debate-que-reflete-mudanca-de-como-brasil-enxerga-a-escravidao.ghtml,2024-11-20 18:53:48+00:00
globo,Fatos chocantes sobre a escravidão,"Ainda hoje, estima-se que cerca de 50 milhões de pessoas ainda vivam em condições análogas à escravidão.",https://g1.globo.com/educacao/noticia/2024/11/20/fatos-chocantes-sobre-a-escravidao.ghtml,2024-11-20 08:03:44+00:00
globo,6 brasileiros que lutaram pelo fim da escravidão no Brasil,"
Batalha pela abolição já ocorria nas províncias brasileiras anos antes da assinatura da Lei Áurea, e reunia escravizados, negros libertos, pessoas da classe média e da alta sociedade.",https://g1.globo.com/educacao/noticia/2024/11/20/6-brasileiros-que-lutaram-pelo-fim-da-escravidao-no-brasil.ghtml,2024-11-20 05:30:15+00:00
globo,Quais são os livros mais marcantes e os autores preferidos dos brasileiros?,"6ª edição do levantamento ""Retratos da Leitura no Brasil"" aponta perda de quase 7 milhões de leitores em 4 anos. ",https://g1.globo.com/educacao/noticia/2024/11/19/quais-sao-os-livros-mais-marcantes-e-os-autores-preferidos-dos-brasileiros.ghtml,2024-11-19 19:22:27+00:00
globo,O Brasil que lê menos: pesquisa aponta perda de quase 7 milhões de leitores em 4 anos; veja raio X,"6ª edição do levantamento ""Retratos da Leitura no Brasil"" aponta ainda que menos entrevistados apontam a escola como lugar de prática de leitura. ",https://g1.globo.com/educacao/noticia/2024/11/19/o-brasil-que-le-menos-pesquisa-aponta-que-pais-perdeu-quase-7-milhoes-de-leitores-em-4-anos-veja-raio-x.ghtml,2024-11-19 18:30:12+00:00
globo,Negros e negras brasileiros que deveriam ser mais estudados nas escolas,"
É constante a reclamação, por parte de ativistas, de que negros e negras proeminentes na história brasileira continuam sendo deixados de lado nas aulas de história. Conheça alguns deles.",https://g1.globo.com/educacao/noticia/2024/11/19/negros-e-negras-brasileiros-que-deveriam-ser-mais-estudados-nas-escolas.ghtml,2024-11-19 11:21:57+00:00
globo,"Questão do vestibular da FGV sobre viral do TikTok é criticada: 'preciso ser cronicamente on-line para acertar?', diz candidata",Estudantes que não usaram redes sociais neste ano só tinham uma maneira de acertar a resposta: saber o exato ano de publicação de um livro. Veja se você marcaria este ponto. ,https://g1.globo.com/educacao/noticia/2024/11/18/questao-do-vestibular-da-fgv-sobre-viral-do-tiktok-e-criticada-preciso-ser-cronicamente-on-line-para-acertar-diz-candidata.ghtml,2024-11-18 15:09:56+00:00
globo,"Número primo de 41 milhões de dígitos é o maior já encontrado, mas matemáticos continuam na busca pela 'perfeição' numérica","Neste artigo, professor de matemática da Universidade de Sidney, na Austrália, discute o impacto da descoberta do 'maior número primo'. ",https://g1.globo.com/educacao/noticia/2024/11/18/numero-primo-de-41-milhoes-de-digitos-e-o-maior-ja-encontrado-mas-matematicos-continuam-na-busca-pela-perfeicao-numerica.ghtml,2024-11-18 12:13:36+00:00
globo,Unesp 2025: confira o gabarito oficial e correção comentada da primeira fase do vestibular,"Universidade aplicou 90 questões nesta sexta-feira (15). Professores de cursinho resolvem questões, com comentários, para o g1.",https://g1.globo.com/sp/campinas-regiao/educacao/noticia/2024/11/15/unesp-2025-gabarito-oficial-e-correcao-comentada-da-primeira-fase-do-vestibular.ghtml,2024-11-15 22:19:41+00:00
globo,Plano da Austrália de banir crianças das redes sociais se mostra popular e problemático,"País quer proibir menores de 16 anos em mídias sociais, mas especialistas alertam para desafios em segurança, privacidade e implementação.",https://g1.globo.com/tecnologia/noticia/2024/11/15/plano-da-australia-de-banir-criancas-das-redes-sociais-se-mostra-popular-e-problematico.ghtml,2024-11-15 13:03:44+00:00
globo,"Proclamação da República: como foi a última festa de arromba da monarquia, regada a champanhe, foie gras e música até o sol raiar","
Corre em livros de História a seguinte anedota sobre o então imperador Dom Pedro 2º: ao chegar ao baile que acabou sendo o último do seu reinado e da monarquia, no dia 9 de novembro de 1889, tropeçou ao entrar no salão. Ao se reerguer, disse, brincando: ""a monarquia tropeça, mas não cai"".",https://g1.globo.com/educacao/noticia/2024/11/15/proclamacao-da-republica-como-foi-a-ultima-festa-de-arromba-da-monarquia-regada-a-champanhe-foie-gras-e-musica-ate-o-sol-raiar.ghtml,2024-11-15 06:30:19+00:00
globo,SkyRats: equipe da USP é destaque em competição internacional de drones,"Os SkyRats ficaram em 4º lugar na categoria outdoor (ambiente aberto), em 5º na categoria indoor (ambiente fechado), e ainda levou o prêmio especial Judge's Award.",https://g1.globo.com/educacao/noticia/2024/11/15/skyrats-equipe-da-usp-e-destaque-em-competicao-internacional-de-drones.ghtml,2024-11-15 06:30:17+00:00
globo,Enem 2024: questão polêmica sobre Caetano Veloso tem resposta oficial diferente da apontada pelo cantor; veja gabarito,"Pergunta  aborda o uso reiterado da palavra 'coisa' em uma crônica com referências intertextuais a músicas do artista baiano. Caetano marcaria a ""A"", mas Inep considerou a ""C"" como a certa. ",https://g1.globo.com/educacao/enem/2024/noticia/2024/11/14/enem-2024-questao-polemica-sobre-caetano-veloso-tem-resposta-oficial-diferente-da-apontada-pelo-cantor-veja-gabarito.ghtml,2024-11-14 12:58:31+00:00
globo,Cadernos de prova do Enem 2024 - 1º e 2º dia,Baixe os PDFs dos cadernos de provas do Enem 2024. Exame foi aplicado nos dias 3 e 10 de novembro. ,https://g1.globo.com/educacao/enem/2024/noticia/2024/11/14/cadernos-de-prova-do-enem-2024-primeir-e-segundo-dia.ghtml,2024-11-14 12:49:53+00:00
globo,Gabarito oficial do Enem 2024 - prova verde do 1º dia,"Exames foram aplicados nos dias 3 e 10 de novembro em todo o país. Mais de 4,3 milhões de pessoas estavam inscritas.",https://g1.globo.com/educacao/enem/2024/noticia/2024/11/14/veja-o-gabarito-oficial-do-enem-2024-prova-verde-do-1o-dia-1.ghtml,2024-11-14 12:37:22+00:00
globo,Gabarito oficial do Enem 2024 - prova azul do 2º dia,"Exames foram aplicados nos dias 3 e 10 de novembro em todo o país. Mais de 4,3 milhões de pessoas estavam inscritas.",https://g1.globo.com/educacao/enem/2024/noticia/2024/11/14/veja-o-gabarito-oficial-do-enem-2024-prova-azul-do-2o-dia.ghtml,2024-11-14 12:34:13+00:00
globo,Gabarito oficial do Enem 2024 - prova cinza do 2º dia,"Exames foram aplicados nos dias 3 e 10 de novembro em todo o país. Mais de 4,3 milhões de pessoas estavam inscritas.",https://g1.globo.com/educacao/enem/2024/noticia/2024/11/14/veja-o-gabarito-oficial-do-enem-2024-prova-cinza-do-2o-dia.ghtml,2024-11-14 12:32:50+00:00
globo,Gabarito oficial do Enem 2024 - prova amarela do 2º dia,"Exames foram aplicados nos dias 3 e 10 de novembro em todo o país. Mais de 4,3 milhões de pessoas estavam inscritas.",https://g1.globo.com/educacao/enem/2024/noticia/2024/11/14/veja-o-gabarito-oficial-do-enem-2024-prova-amarela-do-2o-dia.ghtml,2024-11-14 12:31:45+00:00
