,titulos,description,datas,portal
52,Jatos russos e sírios intensificam bombardeio em território rebelde sírio; ao menos 25 morrem,"Veja as principais notícias e manchetes do dia no Brasil e no Mundo. Leia textos e assista a vídeos de Política, Cotidiano, Crimes e mais.",2024-12-02 09:59:09,https://noticias.uol.com.br/ultimas-noticias/reuters/2024/12/02/jatos-russos-e-sirios-intensificam-bombardeio-em-territorio-rebelde-sirio-ao-menos-25-morrem.htm
53,Moção de censura pode derrubar governo do premiê francês Michel Barnier,"Veja as principais notícias e manchetes do dia no Brasil e no Mundo. Leia textos e assista a vídeos de Política, Cotidiano, Crimes e mais.",2024-12-02 09:49:05,https://noticias.uol.com.br/ultimas-noticias/rfi/2024/12/02/mocao-de-censura-pode-derrubar-governo-do-premie-frances-michel-barnier.htm
54,Kremlin diz que ameaça de Trump ao Brics será tiro pela culatra,"Veja as principais notícias e manchetes do dia no Brasil e no Mundo. Leia textos e assista a vídeos de Política, Cotidiano, Crimes e mais.",2024-12-02 09:44:19,https://noticias.uol.com.br/ultimas-noticias/reuters/2024/12/02/kremlin-diz-que-ameaca-de-trump-ao-brics-sera-tiro-pela-culatra.htm
55,Chineses acham depósito de ouro gigantesco que pode valer R$ 498 bi,"Cientistas chineses descobriram um depósito de ouro gigantesco, avaliada em R$ 498 blhões. ",2024-12-02 09:36:05,https://noticias.uol.com.br/internacional/ultimas-noticias/2024/12/02/chineses-encontram-deposito-de-ouro-8-vezes-o-peso-da-estatua-da-liberdade.htm
56,Fábrica terceirizada que fornecia produto à empresa de 'Rei e rainha da creatina' é interditada,"Veja as principais notícias e manchetes do dia no Brasil e no Mundo. Leia textos e assista a vídeos de Política, Cotidiano, Crimes e mais.",2024-12-02 09:31:03,https://noticias.uol.com.br/ultimas-noticias/agencia-estado/2024/12/02/fabrica-terceirizada-que-fornecia-produto-a-empresa-de-rei-e-rainha-da-creatina-e-interditada.htm
57,"Desemprego na zona do euro permanece estável em outubro, a 6,3%","Veja as principais notícias e manchetes do dia no Brasil e no Mundo. Leia textos e assista a vídeos de Política, Cotidiano, Crimes e mais.",2024-12-02 09:29:14,https://noticias.uol.com.br/ultimas-noticias/afp/2024/12/02/desemprego-na-zona-do-euro-permanece-estavel-em-outubro-a-63.htm
58,"UE inicia novo ciclo institucional; Ucrânia, Trump e economia são principais desafios","Veja as principais notícias e manchetes do dia no Brasil e no Mundo. Leia textos e assista a vídeos de Política, Cotidiano, Crimes e mais.",2024-12-02 09:29:05,https://noticias.uol.com.br/ultimas-noticias/rfi/2024/12/02/ue-inicia-novo-ciclo-institucional-ucrania-trump-e-economia-sao-principais-desafios.htm
59,Um morto e três feridos em ataque russo com 110 drones na Ucrânia,"Veja as principais notícias e manchetes do dia no Brasil e no Mundo. Leia textos e assista a vídeos de Política, Cotidiano, Crimes e mais.",2024-12-02 09:19:12,https://noticias.uol.com.br/ultimas-noticias/afp/2024/12/02/um-morto-e-tres-feridos-em-ataque-russo-com-110-drones-na-ucrania.htm
60,"UnB: Demissão é sugerida, mas professor acusado de assédio é suspenso","Veja as principais notícias e manchetes do dia no Brasil e no Mundo. Leia textos e assista a vídeos de Política, Cotidiano, Crimes e mais.",2024-12-02 09:16:09,https://noticias.uol.com.br/ultimas-noticias/agencia-publica/2024/12/02/unb-comissao-sugere-demissao-mas-professor-acusado-de-assedio-e-suspenso.htm
61,"Morre Rogério Cerqueira Leite, criador de importantes centros de pesquisa no País","Veja as principais notícias e manchetes do dia no Brasil e no Mundo. Leia textos e assista a vídeos de Política, Cotidiano, Crimes e mais.",2024-12-02 09:10:04,https://noticias.uol.com.br/ultimas-noticias/agencia-estado/2024/12/02/morre-rogerio-cerqueira-leite-criador-de-importantes-centros-de-pesquisa-no-pais.htm
